year,movie,movie_id,certificate,duration,genre,rate,metascore,synopsis,votes,gross,release_date,user_reviews,critics_reviews,popularity,awards_wins,awards_nominations,Oscar_Best_Picture_won,Oscar_Best_Picture_nominated,Oscar_Best_Director_won,Oscar_Best_Director_nominated,Oscar_Best_Actor_won,Oscar_Best_Actor_nominated,Oscar_Best_Actress_won,Oscar_Best_Actress_nominated,Oscar_Best_Supporting_Actor_won,Oscar_Best_Supporting_Actor_nominated,Oscar_Best_Supporting_Actress_won,Oscar_Best_Supporting_Actress_nominated,Oscar_Best_AdaScreen_won,Oscar_Best_AdaScreen_nominated,Oscar_Best_OriScreen_won,Oscar_Best_OriScreen_nominated,Oscar_nominated,Golden_Globes_won,Golden_Globes_nominated,BAFTA_won,BAFTA_nominated,Screen_Actors_Guild_won,Screen_Actors_Guild_nominated,Critics_Choice_won,Critics_Choice_nominated,Directors_Guild_won,Directors_Guild_nominated,Producers_Guild_won,Producers_Guild_nominated,Art_Directors_Guild_won,Art_Directors_Guild_nominated,Writers_Guild_won,Writers_Guild_nominated,Costume_Designers_Guild_won,Costume_Designers_Guild_nominated,Online_Film_Television_Association_won,Online_Film_Television_Association_nominated,Online_Film_Critics_Society_won,Online_Film_Critics_Society_nominated,People_Choice_won,People_Choice_nominated,London_Critics_Circle_Film_won,London_Critics_Circle_Film_nominated,American_Cinema_Editors_won,American_Cinema_Editors_nominated,Hollywood_Film_won,Hollywood_Film_nominated,Austin_Film_Critics_Association_won,Austin_Film_Critics_Association_nominated,Denver_Film_Critics_Society_won,Denver_Film_Critics_Society_nominated,Boston_Society_of_Film_Critics_won,Boston_Society_of_Film_Critics_nominated,New_York_Film_Critics_Circle_won,New_York_Film_Critics_Circle_nominated,Los_Angeles_Film_Critics_Association_won,Los_Angeles_Film_Critics_Association_nominated,release_date.year,release_date.month,release_date.day-of-month,release_date.day-of-week
2000,High Fidelity,tt0146882,R,113,Comedy|Drama|Music|Romance,7.5,79,,156654,27277055,,613,168,1987,0,7,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,3,,
2000,The Flintstones in Viva Rock Vegas,tt0158622,PG,90,Comedy|Family|Romance|Sci-Fi,3.6,27,,18632,35268275,,90,58,?,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,
2003,Cold Mountain,tt0159365,R,154,Adventure|Drama|History|Romance|War,7.2,73,,130397,95636509,,691,186,1952,5,35,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,7,1,8,2,13,1,1,1,4,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,12,,
2000,Charlie's Angels,tt0160127,PG-13,98,Action|Adventure|Comedy|Crime|Thriller,5.5,52,,160620,125305545,,632,181,1965,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,,
2001,Nowhere in Africa,tt0161860,R,141,Biography|Drama,7.6,72,,11606,6173485,,86,76,?,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,,
2000,Cast Away,tt0162222,PG-13,143,Adventure|Drama|Romance,7.8,73,,462776,233632142,,1090,225,499,6,15,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,2,1,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,,12,,
2001,Ghost World,tt0162346,R,111,Comedy|Drama,7.4,88,,105745,6217849,,490,128,3311,4,21,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,1,,9,,
2001,Jurassic Park III,tt0163025,PG-13,92,Action|Adventure|Sci-Fi|Thriller,5.9,42,,265613,181171875,,1259,213,2178,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,,
2000,The Beach,tt0163978,R,119,Adventure|Drama|Romance|Thriller,6.6,43,,204385,39785027,,565,108,692,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,,
2000,Hollow Man,tt0164052,R,112,Action|Horror|Sci-Fi|Thriller,5.7,24,,113201,73209340,,641,189,3174,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,,
2002,The Sum of All Fears,tt0164184,PG-13,124,Action|Drama|Thriller|War,6.4,45,,95592,118907036,,564,169,3586,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,,
2001,Along Came a Spider,tt0164334,R,104,Drama|Thriller,6.3,42,,67397,74078174,,317,137,2483,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,
2000,Romeo Must Die,tt0165929,R,115,Action|Crime|Thriller,6.1,52,,62510,55973336,,364,71,2720,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,
2002,Spirit: Stallion of the Cimarron,tt0166813,G::(No. 38853),83,Animation|Adventure|Drama|Family|Western,7.1,52,,55882,73280117,,233,106,?,0,4,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,,
2001,Mulholland Drive,tt0166924,R,147,Drama|Mystery|Thriller,8.0,83,,285177,7220243,,1842,292,902,13,31,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,1,0,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,6,8,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,4,2,4,,10,,
2004,Hellboy,tt0167190,PG-13,122,Action|Fantasy|Horror|Sci-Fi,6.9,72,,280165,59623958,,612,229,616,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,
2003,The Lord of the Rings: The Return of the King,tt0167260,PG-13,201,Adventure|Drama|Fantasy,8.9,94,,1454091,377845905,,3362,343,229,47,70,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,11,4,4,5,14,1,1,5,5,1,1,0,0,1,1,0,0,1,1,16,22,9,11,0,0,0,2,1,1,0,0,0,1,0,0,0,1,1,2,2,3,,12,,
2002,The Lord of the Rings: The Two Towers,tt0167261,PG-13,179,Adventure|Drama|Fantasy,8.7,87,,1314765,342551365,,2430,310,475,24,58,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6,0,2,3,11,0,1,2,4,0,1,0,0,1,1,0,0,0,1,11,20,7,13,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,,12,,
2000,Dancer in the Dark,tt0168629,R,140,Crime|Drama|Musical,8.0,61,,91691,4184036,,696,130,2974,3,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,10,,
2001,Lagaan: Once Upon a Time in India,tt0169102,PG,224,Adventure|Drama|Musical|Romance|Sport,8.1,84,,90759,70147,,257,71,?,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,,
2000,How the Grinch Stole Christmas,tt0170016,PG,104,Comedy|Family|Fantasy,6.1,46,,180068,260044825,,526,128,874,2,9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,,
2003,Bad Boys II,tt0172156,R,147,Action|Comedy|Crime|Thriller,6.6,38,,202897,138608444,,503,100,1665,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,,
2000,Gladiator,tt0172495,R,155,Action|Adventure|Drama,8.5,67,,1181006,187705427,,2451,244,296,18,51,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,12,2,5,5,15,0,3,6,7,0,1,1,1,1,1,0,0,0,0,0,5,1,8,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,,5,,
2000,Scary Movie,tt0175142,TV-14,88,Comedy,6.2,48,,211286,157019771,,886,101,1573,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,,
2000,The Perfect Storm,tt0177971,PG-13,130,Action|Adventure|Drama|Thriller,6.4,59,,145142,182618434,,777,229,1954,1,7,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,,
2000,Quills,tt0180073,R,124,Biography|Drama,7.3,70,,48551,7060876,,311,134,4139,4,24,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,3,0,2,0,4,0,2,1,3,0,0,0,0,0,0,1,1,0,1,1,5,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,,
2000,Requiem for a Dream,tt0180093,R,102,Drama,8.3,68,,685077,3635482,,1970,240,547,9,28,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,13,5,9,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,,12,,
2002,Minority Report,tt0181689,PG-13,145,Action|Crime|Mystery|Sci-Fi|Thriller,7.7,80,,461103,132072926,,1338,263,1527,5,27,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,11,2,10,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,6,,
2003,Terminator 3: Rise of the Machines,tt0181852,R,109,Action|Sci-Fi,6.3,66,,343453,150371112,,1645,282,2160,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,,
2000,Traffic,tt0181865,R,147,Crime|Drama|Thriller,7.6,86,,184242,124115725,,888,229,1223,18,47,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,5,2,5,2,4,2,2,2,4,0,1,0,0,0,0,1,1,0,1,3,12,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,4,1,3,,1,,
2000,Almost Famous,tt0181875,Unrated,122,Adventure|Comedy|Drama|Music,7.9,90,,231727,32534850,,832,152,997,22,55,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,4,2,4,2,6,0,3,3,5,0,1,0,1,0,1,0,1,0,1,3,12,6,11,0,0,0,2,1,1,0,0,0,0,0,0,4,4,0,1,1,1,,9,,
2000,Boiler Room,tt0181984,R,120,Crime|Drama|Thriller,7.0,63,,45881,16938179,,248,115,4567,0,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,,
2000,"Me, Myself & Irene",tt0183505,R::(Approved No. 37152),116,Comedy,6.6,49,,206851,90570999,,481,158,2137,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,,
2000,Pollock,tt0183659,R,122,Biography|Drama,7.0,77,,25333,8596914,,152,114,?,1,2,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,3,,
2001,A Knight's Tale,tt0183790,Unrated,132,Action|Adventure|Romance,6.9,56,,154797,56569702,,668,164,1210,1,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,,
2000,Wonder Boys,tt0185014,R,107,Comedy|Drama,7.4,73,,58210,19389454,,340,178,3714,9,30,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,3,1,4,0,2,0,0,2,3,0,0,0,0,0,1,0,1,0,0,1,7,1,4,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,2,4,,2,,
2000,Battlefield Earth,tt0185183,PG-13,118,Action|Adventure|Sci-Fi,2.5,9,,71751,21471685,,1320,178,2648,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,,
